language,programs_total,content_found,origin_found,any_found,unknown,coverage_content_pct,coverage_any_pct,content+origin,content_only,origin_only,not_covered,unknown_bucket
Chapel,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Charcoal,1,0,1,1,0,0.0,100.0,0,0,1,0,0
Charity,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Charly,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Charm++,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ChatScript,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Checked C,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Cheddar,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Cheetah,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Chef,1,0,0,0,0,0.0,0.0,0,0,0,1,0
Chez Scheme,1,0,0,0,0,0.0,0.0,0,0,0,1,0
Chibi-Scheme,1,0,0,0,1,0.0,0.0,0,0,0,0,1
CHICKEN,1,0,0,0,0,0.0,0.0,0,0,0,1,0
CHILL,1,0,0,0,1,0.0,0.0,0,0,0,0,1
CHIP,1,0,0,0,1,0.0,0.0,0,0,0,0,1
CHIP-8,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Chipmunk Basic,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Chisel,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ChoiceScript,1,0,0,0,1,0.0,0.0,0,0,0,0,1
ChucK,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Church,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Ciao,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Ciel,1,0,0,0,1,0.0,0.0,0,0,0,0,1
Cilk,1,0,0,0,0,0.0,0.0,0,0,0,1,0
Circle,1,0,1,1,0,0.0,100.0,0,0,1,0,0
Circom,1,0,0,0,1,0.0,0.0,0,0,0,0,1
CircuitPython,1,0,0,0,1,0.0,0.0,0,0,0,0,1
